sample_id,image,group_id,reviewer_id,decision,nuisance_tags,distance,angle,lighting,cleanliness,notes
c75d5c75339a889faa004821e6f04e0aa7c6613adc92b0c9884dcc3f9902d07c,C:\Users\root\Desktop\car model\data\hitl_parts_cc0\images\hitl_parts_00661.jpg,hitl_parts_00661,,,,,,,,
8ca3490cfd5a51baf66dc0a5b306e6c290de56931476464d1c826e8ebaa64df6,C:\Users\root\Desktop\car model\data\hitl_parts_cc0\images\hitl_parts_00245.jpg,hitl_parts_00245,,,,,,,,
979588ddb30352eb3aaaef7da75eefd9bd399c6858e000a1c91fd80538f669a7,C:\Users\root\Desktop\car model\data\hitl_parts_cc0\images\hitl_parts_00797.jpg,hitl_parts_00797,,,,,,,,
265a4c797a061b78cb1358f41578635f28e888a8798be3e47f360d9f8bcde6f6,C:\Users\root\Desktop\car model\data\hitl_parts_cc0\images\hitl_parts_00788.jpg,hitl_parts_00788,,,,,,,,
fc924dedeb79aafb1015ac7742a69dd67894ff090f150ae43aeaa6168b699401,C:\Users\root\Desktop\car model\data\hitl_parts_cc0\images\hitl_parts_00532.jpg,hitl_parts_00532,,,,,,,,
365e08c4c5635883184c5993100b314f15f14a7fff204debc18b1571d3a65192,C:\Users\root\Desktop\car model\data\hitl_parts_cc0\images\hitl_parts_00650.jpg,hitl_parts_00650,,,,,,,,
5636d20c24b73918672c57a7b142a7fb04ec2175f5f3944cf364c38a1608c906,C:\Users\root\Desktop\car model\data\hitl_parts_cc0\images\hitl_parts_00296.jpg,hitl_parts_00296,,,,,,,,
bef20296925dd41856a39af025b062a1e5d7001f6f8ee47d7edf4bd7b7203afb,C:\Users\root\Desktop\car model\data\hitl_parts_cc0\images\hitl_parts_00875.jpg,hitl_parts_00875,,,,,,,,
05b81a6208a6020188b03d500e53b5252658dd1705ecf7476d95c9a7e9a1bf5f,C:\Users\root\Desktop\car model\data\hitl_parts_cc0\images\hitl_parts_00531.jpg,hitl_parts_00531,,,,,,,,
1182a82436ef2cd690fb9b7e65a9cb18e227ac6f8fd1cf8f2a4b02b7bc98f34d,C:\Users\root\Desktop\car model\data\hitl_parts_cc0\images\hitl_parts_00538.jpg,hitl_parts_00538,,,,,,,,
3681f7dd56ee5bce2e2d82d06a0fced15f5faae6f16ba72f7c95756eb8718f7f,C:\Users\root\Desktop\car model\data\hitl_parts_cc0\images\hitl_parts_00843.jpg,hitl_parts_00843,,,,,,,,
ffcc6509aee82257e33b41377b96bc72aa588acaeda0ea1ac7dac6a1c1b9f14d,C:\Users\root\Desktop\car model\data\hitl_parts_cc0\images\hitl_parts_00863.jpg,hitl_parts_00863,,,,,,,,
1b088b193ae353c6f8b64d134b1803d2365a5ef528de78cda575b3f893fd06ad,C:\Users\root\Desktop\car model\data\hitl_parts_cc0\images\hitl_parts_00578.jpg,hitl_parts_00578,,,,,,,,
caa2550ac2544d535859a86a9cc7a318e5596091e3c83ad3dd3cd126317155be,C:\Users\root\Desktop\car model\data\hitl_parts_cc0\images\hitl_parts_00778.jpg,hitl_parts_00778,,,,,,,,
c5f7b96ba40f92d3f0259e191f69f3dbfffbdf46d691e11017053c4b56a0f9a8,C:\Users\root\Desktop\car model\data\hitl_parts_cc0\images\hitl_parts_00367.jpg,hitl_parts_00367,,,,,,,,
7006e4ca7dd082e91fbe9e6870a578b9cf9c54b5125e9cb01524681507cbce51,C:\Users\root\Desktop\car model\data\hitl_parts_cc0\images\hitl_parts_00130.jpg,hitl_parts_00130,,,,,,,,
81e67337cb9e2bd08894e3436baf670eb42626c6979c7cdb33513266785900c5,C:\Users\root\Desktop\car model\data\hitl_parts_cc0\images\hitl_parts_00213.jpg,hitl_parts_00213,,,,,,,,
e25dd4f65f698be11b427e6869e4b94618f1ec099aebe642469f9bd07d7c8bd3,C:\Users\root\Desktop\car model\data\hitl_parts_cc0\images\hitl_parts_00915.jpg,hitl_parts_00915,,,,,,,,
caf9bfdb8692c23207a184d75d04f3bac673300042a0772c1f4b21a5497efaed,C:\Users\root\Desktop\car model\data\hitl_parts_cc0\images\hitl_parts_00415.jpg,hitl_parts_00415,,,,,,,,
84c18dd9b104c78cb4c1bb9e270f2f14430c5c188260cc6c7fcff35f71b9e53a,C:\Users\root\Desktop\car model\data\hitl_parts_cc0\images\hitl_parts_00721.jpg,hitl_parts_00721,,,,,,,,
8946fde7834402161d63f0baf216b88a884053c7c6288e250d08ad0a101c8c9a,C:\Users\root\Desktop\car model\data\hitl_parts_cc0\images\hitl_parts_00930.jpg,hitl_parts_00930,,,,,,,,
da40d1759feca5842a765faccecb5a6d4df73be17faa652148d416a8aea92a87,C:\Users\root\Desktop\car model\data\hitl_parts_cc0\images\hitl_parts_00953.jpg,hitl_parts_00953,,,,,,,,
0b90e1b43464ac71707c67103dba1877e386dbc519ef79d095a424bbadba88c3,C:\Users\root\Desktop\car model\data\hitl_parts_cc0\images\hitl_parts_00740.jpg,hitl_parts_00740,,,,,,,,
8838cd82fdaa724fea81b0147fd00f358011440bc0a094bc4e1859de4ea89fc5,C:\Users\root\Desktop\car model\data\hitl_parts_cc0\images\hitl_parts_00345.jpg,hitl_parts_00345,,,,,,,,
56583b050bf98cdca5703a7725aca345b3eb6d4ffbea578c0e9f67da985ebf7b,C:\Users\root\Desktop\car model\data\hitl_parts_cc0\images\hitl_parts_00439.jpg,hitl_parts_00439,,,,,,,,
4f5952e996ee01503ae3247e1269cc552e6c406433f8cf2fbd4ddc759dcb632f,C:\Users\root\Desktop\car model\data\hitl_parts_cc0\images\hitl_parts_00259.jpg,hitl_parts_00259,,,,,,,,
01a83117a5b9c8f7db8903b49051de1fc74429fcf1a7ca7ffe628049de734b62,C:\Users\root\Desktop\car model\data\hitl_parts_cc0\images\hitl_parts_00967.jpg,hitl_parts_00967,,,,,,,,
a0fe12847b603c184ef67795a3b1872a5ad7c9acf35b383f88f8e502ec24ddb9,C:\Users\root\Desktop\car model\data\hitl_parts_cc0\images\hitl_parts_00542.jpg,hitl_parts_00542,,,,,,,,
037c7e306ae9ad0235e0dc3a78c1fd3e1e59f0e8da1f39571c1c3315bc8f0e87,C:\Users\root\Desktop\car model\data\hitl_parts_cc0\images\hitl_parts_00219.jpg,hitl_parts_00219,,,,,,,,
a045e94e5eb18b82b934d90bfda5082a86a323a7fb3f313247a0a1e3fb81ffdd,C:\Users\root\Desktop\car model\data\hitl_parts_cc0\images\hitl_parts_00182.jpg,hitl_parts_00182,,,,,,,,
5eb7d1decc23c114e5d3170637a027c4d656e0f005e4eb4bc2f5e5bd51f778aa,C:\Users\root\Desktop\car model\data\hitl_parts_cc0\images\hitl_parts_00634.jpg,hitl_parts_00634,,,,,,,,
c4cbd609873e8b19825650a3bb368408017781cac76e16d2983f0ee73a2058a9,C:\Users\root\Desktop\car model\data\hitl_parts_cc0\images\hitl_parts_00099.jpg,hitl_parts_00099,,,,,,,,
0c432845a3856c92153fd9b888c16c7ae5baa4ca0b098caa4aae8d3abb23eb8e,C:\Users\root\Desktop\car model\data\hitl_parts_cc0\images\hitl_parts_00583.jpg,hitl_parts_00583,,,,,,,,
29218c0505cb38933a140f3a7ad8da6054961eac6466375f99e03ce8a61c1d28,C:\Users\root\Desktop\car model\data\hitl_parts_cc0\images\hitl_parts_00572.jpg,hitl_parts_00572,,,,,,,,
20d9287e2c011c7edf0efdbba412b8abac8a67ae1e903a558a5693b9ee3e2d8b,C:\Users\root\Desktop\car model\data\hitl_parts_cc0\images\hitl_parts_00105.jpg,hitl_parts_00105,,,,,,,,
24ba03d76349ea512d10b3014b264bd6491327be1c869a1ca5c25cd2363e3e58,C:\Users\root\Desktop\car model\data\hitl_parts_cc0\images\hitl_parts_00652.jpg,hitl_parts_00652,,,,,,,,
f7add6b1f303dcd7633a7e348fe27a970fca57b48933a90a5bf6311896483949,C:\Users\root\Desktop\car model\data\hitl_parts_cc0\images\hitl_parts_00073.jpg,hitl_parts_00073,,,,,,,,
331b164a61043287e225b9648c9fdf4083576672ffa39ca94f9d8663b40f4168,C:\Users\root\Desktop\car model\data\hitl_parts_cc0\images\hitl_parts_00785.jpg,hitl_parts_00785,,,,,,,,
d6aa74bfcc2ccd7c06923be11a444339d5c8badd7358d238f42f2bd2bfc55940,C:\Users\root\Desktop\car model\data\hitl_parts_cc0\images\hitl_parts_00056.jpg,hitl_parts_00056,,,,,,,,
5a5458acf21e4ec1f1a8c54cad8416a0c0703046bdc2a15516678b543b890b93,C:\Users\root\Desktop\car model\data\hitl_parts_cc0\images\hitl_parts_00374.jpg,hitl_parts_00374,,,,,,,,
0d269254db55b85c317da72a1b77fa0686f4346b8c8f8f66cd3ecef2c97690af,C:\Users\root\Desktop\car model\data\hitl_parts_cc0\images\hitl_parts_00090.jpg,hitl_parts_00090,,,,,,,,
465d9d4a1c7769fd67acec0a7288810beff7b732cc86a4bee72b2eec4547a0cd,C:\Users\root\Desktop\car model\data\hitl_parts_cc0\images\hitl_parts_00034.jpg,hitl_parts_00034,,,,,,,,
f51c0203d5e337b6334290afb8129ad6df92a58f0aa92425a85ad92230654bb2,C:\Users\root\Desktop\car model\data\hitl_parts_cc0\images\hitl_parts_00354.jpg,hitl_parts_00354,,,,,,,,
7c01bb55e524624acea2794a6e824e3f109325d0bea26f2090d7494bf8a0ecab,C:\Users\root\Desktop\car model\data\hitl_parts_cc0\images\hitl_parts_00557.jpg,hitl_parts_00557,,,,,,,,
00d56369f3961e2e4255ef58d9006a860dd385ca4547fbc17077a8873f69bb22,C:\Users\root\Desktop\car model\data\hitl_parts_cc0\images\hitl_parts_00593.jpg,hitl_parts_00593,,,,,,,,
860b6945671ea9eb7fdca3c82cb181e25b13bf63c999a26ea1e3f0191d1af826,C:\Users\root\Desktop\car model\data\hitl_parts_cc0\images\hitl_parts_00943.jpg,hitl_parts_00943,,,,,,,,
f367cdf0b88fef0a9ce50cca7cc02450e3b3f4a420517cd60e4a301899e4003a,C:\Users\root\Desktop\car model\data\hitl_parts_cc0\images\hitl_parts_00786.jpg,hitl_parts_00786,,,,,,,,
6c2ae48588c0e57c0a67dd77c4ca0e73a76fcf2880fa4a33199d5c920065f2c1,C:\Users\root\Desktop\car model\data\hitl_parts_cc0\images\hitl_parts_00400.jpg,hitl_parts_00400,,,,,,,,
eacbbdf21c5fb80783bd0a7e5afd015e0feb92b66463ce25b57800c17522db27,C:\Users\root\Desktop\car model\data\hitl_parts_cc0\images\hitl_parts_00963.jpg,hitl_parts_00963,,,,,,,,
525e2b5359b5908a0c78af99f26b513900b4a264e36197d0859d322a817a6b8d,C:\Users\root\Desktop\car model\data\hitl_parts_cc0\images\hitl_parts_00082.jpg,hitl_parts_00082,,,,,,,,
81ef69904fa2a5adc6b90fcd71004aea7c50878e2b05d0ceb0235e244b3fa9c2,C:\Users\root\Desktop\car model\data\hitl_parts_cc0\images\hitl_parts_00883.jpg,hitl_parts_00883,,,,,,,,
